,Unnamed: 0,model_id,label,train length,dev length,test length,batch_size,lr,data_seed,model_seed,target_layer,operation,mask_init,model,model path,train loss,dev loss,knn dev acc,dev majority acc,knn test acc,test majority acc,L0 Norm,L0 Max,vanilla acc,ablated acc,kl,mlm vanilla acc,mlm ablated acc,mlm kl,random ablate kl mean,random ablate kl std,all random ablate kls,random ablate mlm kl mean,random ablate mlm kl std,all random ablate mlm kls
32,32,4cefe7d0-a3a7-45e5-b0b4-3ee132a00388,dep,16521,1522,15977,16,0.001,0,2,5,attn,0.0,gpt_neox,EleutherAI/pythia-160m,2.622612099493704,2.783881107966105,0.6628828042163039,0.1163225846691199,0.590411216123177,0.1169806596983163,352127.0,2359296,0.0707456978967495,0.0165710643722116,2.5946436262647388,-1,-1,-1,0.5163021440183835,0.0,[0.5163021440183835],-1.0,-1,[-1]
33,33,67adce31-27c8-4eab-a1b3-1c53e17e8cf2,dep,16521,1522,15977,16,0.001,0,0,5,mlp,0.0,gpt_neox,EleutherAI/pythia-160m,2.6705047276712235,2.7485657135645547,0.6725608617147126,0.1164933690305709,0.6288414595981724,0.1169806596983163,535962.0,4718592,0.1128107074569789,0.0669216061185468,0.8779367674225224,-1,-1,-1,0.1676405839208891,0.0,[0.1676405839208891],-1.0,-1,[-1]
34,34,f9d07f3a-304c-4e34-8640-cc04bad0fedd,dep,16521,1522,15977,16,0.001,0,1,5,mlp,0.0,gpt_neox,EleutherAI/pythia-160m,2.669121492293573,2.7491179704666138,0.6794097503268788,0.1164933690305709,0.6359767165300119,0.1169806596983163,537545.0,4718592,0.1147227533460803,0.0656469088591459,0.8766311052272546,-1,-1,-1,0.1541638735983309,0.0,[0.15416387359833095],-1.0,-1,[-1]
35,35,e25e5de0-977d-42cf-a4ff-7a6a952fd09e,dep,16521,1522,15977,16,0.001,0,2,5,mlp,0.0,gpt_neox,EleutherAI/pythia-160m,2.672343546344388,2.749581774075826,0.6754249424070731,0.1164933690305709,0.6374788758840834,0.1169806596983163,532523.0,4718592,0.1185468451242829,0.0675589547482472,0.8929579511731198,-1,-1,-1,0.1653460277122171,0.0,[0.16534602771221718],-1.0,-1,[-1]
36,0,e6b75c3f-28fe-42ac-82dd-f4733374c1fb,dep,16521,1522,15977,16,0.001,0,0,6,attn,0.0,gpt_neox,EleutherAI/pythia-160m,2.641761364475373,2.8417018254597983,0.6451693382398802,0.1163225846691199,0.538962258246229,0.1169806596983163,314698.0,2359296,0.0522625876354365,0.0388782664117272,2.360435587954111,-1,-1,-1,0.8783490367570905,0.0,[0.8783490367570905],-1.0,-1,[-1]
37,1,c2f6a47c-efde-4c6e-9c4d-9a258c3eb608,dep,16521,1522,15977,16,0.001,0,1,6,attn,0.0,gpt_neox,EleutherAI/pythia-160m,2.619788431352185,2.7951377232869468,0.6747957337990395,0.1163225846691199,0.567503285973587,0.1169806596983163,350945.0,2359296,0.0376035691523263,0.0101975780752071,3.6467694391332057,-1,-1,-1,0.9494581447428696,0.0,[0.9494581447428697],-1.0,-1,[-1]
38,2,3a437a1d-1b61-4488-8278-2430a7b0c3f4,dep,16521,1522,15977,16,0.001,0,2,6,attn,0.0,gpt_neox,EleutherAI/pythia-160m,2.597873491625632,2.789400696754456,0.747832595272251,0.1163225846691199,0.6012392814671089,0.1169806596983163,397846.0,2359296,0.0509878903760356,0.0140216698534098,4.428275872370937,-1,-1,-1,1.0030777434621974,0.0,[1.0030777434621974],-1.0,-1,[-1]
39,3,ce1be019-2d16-45b9-a06f-8ec838a990a7,dep,16521,1522,15977,16,0.001,0,0,6,mlp,0.0,gpt_neox,EleutherAI/pythia-160m,2.6739742717435284,2.7524342139561973,0.6639063570138846,0.1164933690305709,0.6242723915628716,0.1169806596983163,529290.0,4718592,0.1077119184193754,0.0815806246016571,0.8496576896361138,-1,-1,-1,0.1485669030893981,0.0,[0.1485669030893981],-1.0,-1,[-1]
40,4,c5b83541-6f5e-46c4-93ef-f26574b51c62,dep,16521,1522,15977,16,0.001,0,1,6,mlp,0.0,gpt_neox,EleutherAI/pythia-160m,2.674564403872336,2.753418763478597,0.6667704377062449,0.1164933690305709,0.6253990110784252,0.1169806596983163,531167.0,4718592,0.1159974506054812,0.0777565328234544,0.7592622502887986,-1,-1,-1,0.1340251895863209,0.0,[0.1340251895863209],-1.0,-1,[-1]
41,5,b92a52fa-ed9b-48c0-a00d-7d6368d86997,dep,16521,1522,15977,16,0.001,0,2,6,mlp,0.0,gpt_neox,EleutherAI/pythia-160m,2.676698011736716,2.7529083887736,0.6658364983500404,0.1164933690305709,0.6259623208362021,0.1169806596983163,522964.0,4718592,0.1121733588272785,0.0745697896749522,0.7131481474565806,-1,-1,-1,0.1447558333115489,0.0,[0.14475583331154895],-1.0,-1,[-1]
